Time,Value,Value Attributes
1-Mar-2024,23:22:59.28125,84.16
1-Mar-2024,21:45:19.78125,84.25
1-Mar-2024,21:28:02.96875,84.18
1-Mar-2024,20:14:23.625,84.36
1-Mar-2024,19:05:46.65625,84.52
1-Mar-2024,16:25:58.90625,84.70
1-Mar-2024,15:40:57.9375,84.95
1-Mar-2024,14:56:57.03125,84.84
1-Mar-2024,13:45:24.46875,84.99
1-Mar-2024,12:33:22.65625,85.21
1-Mar-2024,11:50:48.9375,85.54
1-Mar-2024,07:36:10.125,85.95
1-Mar-2024,03:03:28.375,85.45
1-Mar-2024,00:26:15.0625,84.77
29-Feb-2024,22:17:37.59375,84.71
29-Feb-2024,18:52:15.25,84.95
29-Feb-2024,15:08:26.53125,84.91
29-Feb-2024,11:58:27.9375,85.27
29-Feb-2024,08:35:13.1875,85.67
29-Feb-2024,08:34:33.125,84.86
29-Feb-2024,08:32:50.0625,84.65
29-Feb-2024,08:32:32.0625,83.76
29-Feb-2024,08:32:18.0625,83.55
29-Feb-2024,07:22:10.6875,83.47
29-Feb-2024,06:40:07.6875,83.46
29-Feb-2024,06:04:02.40625,83.38
29-Feb-2024,05:47:57.875,83.29
29-Feb-2024,05:25:41.25,83.29
29-Feb-2024,05:13:21.90625,83.36
29-Feb-2024,04:59:01.71875,83.28
29-Feb-2024,04:52:23.53125,83.35
29-Feb-2024,03:50:57.375,83.10
29-Feb-2024,02:23:33.75,82.78
29-Feb-2024,02:18:14.6875,82.94
29-Feb-2024,02:18:04.6875,83.36
29-Feb-2024,02:11:13.5,83.42
29-Feb-2024,02:11:01.5,83.94
29-Feb-2024,02:04:44.96875,84.05
29-Feb-2024,02:04:28.96875,83.24
29-Feb-2024,02:01:17.8125,83.15
29-Feb-2024,02:00:16.78125,83.69
29-Feb-2024,02:00:05.78125,84.07
29-Feb-2024,01:56:38.625,84.38
29-Feb-2024,01:56:21.625,84.72
29-Feb-2024,01:55:40.625,85.01
28-Feb-2024,23:17:54.03125,84.44
28-Feb-2024,17:17:53.65625,84.91
28-Feb-2024,11:55:52.25,85.35
28-Feb-2024,09:50:47.5625,85.60
28-Feb-2024,09:00:53.90625,85.56
28-Feb-2024,09:00:45.90625,85.59
28-Feb-2024,07:21:25.25,85.61
28-Feb-2024,07:20:34.25,85.67
28-Feb-2024,04:39:38.90625,85.43
28-Feb-2024,02:50:10.1875,85.13
28-Feb-2024,01:16:28.1875,84.82
27-Feb-2024,23:55:28.375,84.50
27-Feb-2024,21:09:39.34375,84.58
27-Feb-2024,18:23:28,84.78
27-Feb-2024,17:12:26.125,85.08
27-Feb-2024,14:49:22.15625,85.14
27-Feb-2024,07:37:14.0625,86.34
27-Feb-2024,06:00:32.9375,86.24
27-Feb-2024,03:09:55.84375,85.90
27-Feb-2024,01:43:01.40625,85.62
27-Feb-2024,00:10:39,84.43
26-Feb-2024,17:18:01.25,84.74
26-Feb-2024,13:48:11.6875,85.31
26-Feb-2024,12:37:53.71875,85.47
26-Feb-2024,09:44:51.5625,86.12
26-Feb-2024,05:43:18.625,85.82
26-Feb-2024,03:31:41.3125,85.43
26-Feb-2024,00:09:28.28125,84.09
25-Feb-2024,22:36:52.1875,83.98
25-Feb-2024,16:23:36.96875,84.37
25-Feb-2024,15:08:46.96875,84.58
25-Feb-2024,15:04:36.96875,84.46
25-Feb-2024,14:47:55.8125,84.66
25-Feb-2024,12:37:17.90625,84.94
25-Feb-2024,11:08:39.84375,85.32
25-Feb-2024,07:05:50.9375,85.52
25-Feb-2024,06:15:40.4375,85.44
25-Feb-2024,05:31:03.625,85.25
25-Feb-2024,00:55:42.375,84.91
24-Feb-2024,21:36:11.03125,84.82
