Name	\\HST1\T1.TTWS1FI
Data Type	Float 32
Number of Values	16734
Time	Value	Value Attributes
22-Mar-2024 04:31:24.09375	220
22-Mar-2024 04:31:18.09375	219
22-Mar-2024 04:31:17.09375	218
22-Mar-2024 04:31:15.09375	218
22-Mar-2024 04:31:11.09375	217
22-Mar-2024 04:31:07.09375	216
22-Mar-2024 04:31:05.09375	215
22-Mar-2024 04:31:01.0625	214
22-Mar-2024 04:30:58.0625	214
22-Mar-2024 04:30:53.0625	213
22-Mar-2024 04:30:51.0625	212
22-Mar-2024 04:30:48.0625	212
22-Mar-2024 04:30:45.0625	210
22-Mar-2024 04:30:43.0625	210
22-Mar-2024 04:30:40.0625	209
22-Mar-2024 04:30:39.0625	208
22-Mar-2024 04:30:37.0625	208
22-Mar-2024 04:30:34.0625	207
22-Mar-2024 04:30:32.0625	206
22-Mar-2024 04:30:30.0625	206
22-Mar-2024 04:30:28.0625	205
22-Mar-2024 04:30:26.0625	204
22-Mar-2024 04:30:24.0625	204
22-Mar-2024 04:30:21.0625	203
22-Mar-2024 04:30:19.0625	202
22-Mar-2024 04:30:18.0625	202
22-Mar-2024 04:30:16.0625	201
22-Mar-2024 04:30:14.0625	200
22-Mar-2024 04:30:10.0625	199
22-Mar-2024 04:30:08.0625	198
22-Mar-2024 04:30:04.0625	198
22-Mar-2024 04:30:01.0625	196
22-Mar-2024 04:29:57.0625	196
22-Mar-2024 04:29:54.0625	195
22-Mar-2024 04:29:52.0625	194
22-Mar-2024 04:29:48.03125	193
22-Mar-2024 04:29:45.03125	193
22-Mar-2024 04:29:42.03125	192
22-Mar-2024 04:29:37.03125	191
22-Mar-2024 04:29:35.03125	190
22-Mar-2024 04:29:30.03125	189
22-Mar-2024 04:29:29.03125	188
22-Mar-2024 04:29:26.03125	188
22-Mar-2024 04:29:23.03125	187
22-Mar-2024 04:29:21.03125	186
22-Mar-2024 04:29:17.03125	185
22-Mar-2024 04:29:13.03125	184
22-Mar-2024 04:29:11.03125	183
22-Mar-2024 04:29:08.03125	183
22-Mar-2024 04:29:04.03125	181
22-Mar-2024 04:29:01.03125	181
22-Mar-2024 04:28:57.03125	179
22-Mar-2024 04:28:53.03125	178
22-Mar-2024 04:28:51.03125	177
22-Mar-2024 04:28:49.03125	177
22-Mar-2024 04:28:45.03125	176
22-Mar-2024 04:28:43.03125	175
22-Mar-2024 04:28:38.03125	173
22-Mar-2024 04:28:34.03125	173
22-Mar-2024 04:28:32.03125	172
22-Mar-2024 04:28:29.03125	171
22-Mar-2024 04:28:26.03125	170
22-Mar-2024 04:28:24.03125	170
22-Mar-2024 04:28:20.03125	169
22-Mar-2024 04:28:17.03125	169
22-Mar-2024 04:28:14.03125	168
22-Mar-2024 04:28:07	167
22-Mar-2024 04:27:51.96875	164
22-Mar-2024 04:27:47.96875	164
22-Mar-2024 04:27:28.9375	161
22-Mar-2024 04:27:15.9375	159
22-Mar-2024 04:27:04.9375	159
22-Mar-2024 04:27:00.9375	160
22-Mar-2024 04:26:54.9375	162
22-Mar-2024 04:26:51.9375	161
22-Mar-2024 04:26:50.9375	160
22-Mar-2024 04:26:49.9375	160
22-Mar-2024 04:25:54.90625	161
22-Mar-2024 04:24:46.90625	164
22-Mar-2024 04:24:12.84375	165
22-Mar-2024 04:23:43.84375	167
