Name	\\HST1\T1.A26BJ1B
Data Type	Float 32
Number of Values	52842
Time	Value	Value Attributes
14-Sep-2023 15:10:07.25	35
14-Sep-2023 15:08:16	35
14-Sep-2023 15:08:03	35
14-Sep-2023 15:08:02	35
14-Sep-2023 15:04:30.46875	35
14-Sep-2023 15:04:27.46875	35
14-Sep-2023 15:02:29.03125	35
14-Sep-2023 15:02:27.03125	35
14-Sep-2023 15:01:55	35
14-Sep-2023 12:47:03.28125	35
14-Sep-2023 12:41:23.375	35
14-Sep-2023 12:40:51.25	35
14-Sep-2023 12:40:50.25	35
14-Sep-2023 12:39:55.09375	35
14-Sep-2023 10:51:44.34375	35
14-Sep-2023 06:53:35.34375	34
14-Sep-2023 03:23:10.15625	35
14-Sep-2023 02:59:43.09375	35
14-Sep-2023 02:02:47.96875	35
14-Sep-2023 01:42:57.65625	35
14-Sep-2023 00:37:23.46875	35
14-Sep-2023 00:35:30.15625	35
14-Sep-2023 00:33:23.875	35
14-Sep-2023 00:33:20.875	35
14-Sep-2023 00:32:59.84375	35
13-Sep-2023 23:55:11.625	35
13-Sep-2023 22:26:39.03125	35
13-Sep-2023 17:28:14.21875	35
13-Sep-2023 17:28:06.1875	35
13-Sep-2023 17:28:05.1875	35
13-Sep-2023 17:26:21.875	35
13-Sep-2023 17:26:17.84375	35
13-Sep-2023 17:26:12.84375	35
13-Sep-2023 17:26:03.84375	35
13-Sep-2023 17:26:00.84375	35
13-Sep-2023 17:25:44.8125	35
13-Sep-2023 17:25:42.8125	35
13-Sep-2023 17:23:11.5	35
13-Sep-2023 17:23:03.46875	35
13-Sep-2023 17:20:18.34375	35
13-Sep-2023 17:20:15.34375	35
13-Sep-2023 17:19:57.3125	35
13-Sep-2023 17:19:50.28125	35
13-Sep-2023 17:19:11.25	35
13-Sep-2023 17:18:33.1875	35
13-Sep-2023 14:15:39.09375	35
13-Sep-2023 14:15:30.09375	35
13-Sep-2023 14:15:28.09375	35
13-Sep-2023 14:15:16.09375	35
13-Sep-2023 14:14:21	35
13-Sep-2023 14:14:17	35
13-Sep-2023 14:14:15	35
13-Sep-2023 14:14:13	35
13-Sep-2023 14:11:48.65625	35
13-Sep-2023 14:11:46.65625	35
13-Sep-2023 14:11:30.5625	35
13-Sep-2023 14:10:58.5	35
13-Sep-2023 14:10:38.5	35
13-Sep-2023 14:10:21.46875	35
13-Sep-2023 14:09:43.4375	35
13-Sep-2023 14:09:16.40625	35
13-Sep-2023 14:09:15.40625	35
13-Sep-2023 14:09:13.40625	35
13-Sep-2023 14:07:53.25	35
13-Sep-2023 14:05:14.9375	35
13-Sep-2023 14:05:07.9375	35
13-Sep-2023 14:04:38.84375	35
13-Sep-2023 14:04:35.84375	35
13-Sep-2023 14:04:02.75	35
13-Sep-2023 14:03:56.75	35
13-Sep-2023 14:03:19.59375	35
13-Sep-2023 14:01:20.40625	35
13-Sep-2023 14:00:59.34375	35
13-Sep-2023 14:00:50.34375	35
13-Sep-2023 14:00:19.28125	35
13-Sep-2023 13:59:47.25	35
13-Sep-2023 13:59:39.25	35
13-Sep-2023 13:59:28.21875	35
13-Sep-2023 13:59:23.21875	35
13-Sep-2023 13:57:45.03125	35
13-Sep-2023 13:57:40	35
13-Sep-2023 13:52:16.6875	35
13-Sep-2023 13:52:13.6875	35
13-Sep-2023 13:51:37.625	35
13-Sep-2023 12:16:01.25	35
13-Sep-2023 12:10:02.71875	35
13-Sep-2023 10:14:45.15625	34
13-Sep-2023 10:00:04.3125	34
13-Sep-2023 09:37:51.125	34
13-Sep-2023 09:24:16.40625	34
13-Sep-2023 05:03:56.125	34
13-Sep-2023 04:41:26.28125	34
13-Sep-2023 04:30:59.15625	34
13-Sep-2023 03:41:27.90625	34
12-Sep-2023 23:56:52.53125	35
12-Sep-2023 20:14:14.375	35
12-Sep-2023 18:07:25.375	35
12-Sep-2023 18:06:03.3125	35
12-Sep-2023 15:36:49.90625	35
12-Sep-2023 09:59:52.6875	34
12-Sep-2023 03:54:32.8125	34
11-Sep-2023 23:15:53	34
11-Sep-2023 22:56:19.28125	34
11-Sep-2023 22:35:07.96875	34
11-Sep-2023 21:54:46.25	35
11-Sep-2023 17:29:07.71875	35
11-Sep-2023 14:13:35.125	34
11-Sep-2023 11:56:09.6875	34
11-Sep-2023 05:19:50.25	33
11-Sep-2023 02:33:15.28125	34
10-Sep-2023 23:25:22	34
10-Sep-2023 22:42:51.53125	35
10-Sep-2023 19:26:32.25	35
10-Sep-2023 19:15:46.5	35
10-Sep-2023 19:15:45.5	35
10-Sep-2023 18:34:47.03125	35
10-Sep-2023 18:34:45.03125	35
10-Sep-2023 18:34:27	35
10-Sep-2023 18:22:05.59375	35
10-Sep-2023 15:38:45.71875	35
10-Sep-2023 15:33:40.9375	35
10-Sep-2023 15:10:10.21875	35
10-Sep-2023 13:21:08.84375	34
10-Sep-2023 12:50:03.59375	34
10-Sep-2023 12:42:50.34375	34
10-Sep-2023 09:24:48.625	34
10-Sep-2023 08:13:41.5	34
10-Sep-2023 03:44:38.96875	33
9-Sep-2023 23:22:57.21875	34
9-Sep-2023 21:15:55.5625	35
9-Sep-2023 18:33:40.625	35
9-Sep-2023 18:24:05.6875	35
9-Sep-2023 15:59:41.09375	34
9-Sep-2023 15:56:21.625	34
9-Sep-2023 15:36:28.65625	34
9-Sep-2023 15:03:50.6875	34
9-Sep-2023 14:57:17.09375	34
9-Sep-2023 12:44:52.0625	34
9-Sep-2023 07:02:28.8125	34
9-Sep-2023 03:39:34.3125	34
9-Sep-2023 00:53:06.375	34
8-Sep-2023 23:43:53.875	34
8-Sep-2023 21:10:34.625	35
8-Sep-2023 15:57:01.5	35
8-Sep-2023 15:26:23.34375	35
8-Sep-2023 15:19:09.71875	35
8-Sep-2023 11:00:02.875	34
8-Sep-2023 10:03:31.15625	34
8-Sep-2023 04:41:11.71875	34
8-Sep-2023 04:02:32.5	34
8-Sep-2023 00:50:54.375	35
8-Sep-2023 00:45:53.6875	35
7-Sep-2023 23:16:54.375	35
7-Sep-2023 23:10:35.96875	35
7-Sep-2023 23:10:27.9375	35
7-Sep-2023 23:08:42.8125	35
7-Sep-2023 23:08:35.75	35
7-Sep-2023 23:07:23.71875	35
7-Sep-2023 23:07:15.71875	35
7-Sep-2023 23:07:14.71875	35
7-Sep-2023 23:07:13.71875	35
7-Sep-2023 23:07:09.65625	35
7-Sep-2023 23:06:37.625	35
7-Sep-2023 23:06:29.59375	35
7-Sep-2023 23:06:21.59375	35
7-Sep-2023 23:05:13.53125	35
7-Sep-2023 23:05:00.5	35
7-Sep-2023 23:04:01.34375	35
7-Sep-2023 23:03:59.34375	35
7-Sep-2023 23:03:30.3125	35
7-Sep-2023 23:03:10.3125	35
7-Sep-2023 23:02:54.3125	35
7-Sep-2023 23:02:08.25	35
7-Sep-2023 23:02:05.25	35
7-Sep-2023 23:01:24.15625	35
7-Sep-2023 23:00:55.15625	35
7-Sep-2023 23:00:52.15625	35
7-Sep-2023 23:00:30.125	35
7-Sep-2023 23:00:26.125	35
7-Sep-2023 22:59:41.03125	35
7-Sep-2023 22:59:36.03125	35
7-Sep-2023 22:59:35.03125	35
7-Sep-2023 22:59:18	35
7-Sep-2023 22:59:13	35
7-Sep-2023 22:58:54	35
7-Sep-2023 22:56:40.6875	35
7-Sep-2023 22:56:32.6875	35
7-Sep-2023 22:56:24.65625	35
7-Sep-2023 22:56:16.625	35
7-Sep-2023 22:55:58.59375	35
7-Sep-2023 22:43:18	35
