Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
10-Nov-2023 22:18:08.03125	51
10-Nov-2023 22:14:32.96875	51
10-Nov-2023 22:09:55.9375	51
10-Nov-2023 22:00:20.21875	51
10-Nov-2023 21:54:59.96875	51
10-Nov-2023 21:51:06.25	51
10-Nov-2023 21:47:28.96875	51
10-Nov-2023 21:42:44.1875	51
10-Nov-2023 21:35:18.5	51
10-Nov-2023 21:28:12.1875	51
10-Nov-2023 21:26:36.875	51
10-Nov-2023 21:20:36.8125	51
10-Nov-2023 21:17:43.40625	51
10-Nov-2023 21:15:19.9375	51
10-Nov-2023 21:07:31.375	51
10-Nov-2023 21:03:54.9375	51
10-Nov-2023 20:54:18.15625	51
10-Nov-2023 20:52:26.5625	51
10-Nov-2023 20:52:25.5625	51
10-Nov-2023 20:52:24.5625	51
10-Nov-2023 20:49:59.15625	51
10-Nov-2023 20:47:14.625	51
10-Nov-2023 20:44:15.65625	51
10-Nov-2023 20:40:20.875	51
10-Nov-2023 20:38:18.65625	51
10-Nov-2023 20:32:46.5	51
10-Nov-2023 20:26:07.4375	51
10-Nov-2023 20:22:25.625	51
10-Nov-2023 20:18:46.15625	51
10-Nov-2023 20:13:23.125	51
10-Nov-2023 20:10:02.625	51
10-Nov-2023 20:05:08.65625	51
10-Nov-2023 20:00:07.5625	51
10-Nov-2023 19:57:52.09375	51
10-Nov-2023 19:55:50.6875	51
10-Nov-2023 19:53:06.375	51
10-Nov-2023 19:48:25.71875	51
10-Nov-2023 19:39:00.75	51
10-Nov-2023 19:37:30.40625	51
10-Nov-2023 19:31:34.28125	51
10-Nov-2023 19:26:05.0625	51
10-Nov-2023 19:23:13.46875	51
10-Nov-2023 19:20:25.96875	51
10-Nov-2023 19:17:33.5625	51
10-Nov-2023 19:14:55.71875	51
10-Nov-2023 19:14:03.5	51
10-Nov-2023 19:11:43.0625	51
10-Nov-2023 19:09:19.71875	51
10-Nov-2023 19:03:23.28125	51
10-Nov-2023 18:57:20.3125	51
10-Nov-2023 18:54:17.875	51
10-Nov-2023 18:50:26.3125	51
10-Nov-2023 18:48:54.96875	51
10-Nov-2023 18:43:59.21875	51
10-Nov-2023 18:40:36.46875	51
10-Nov-2023 18:38:40.03125	51
10-Nov-2023 18:34:53.4375	51
10-Nov-2023 18:31:32.84375	51
10-Nov-2023 18:26:45.90625	51
10-Nov-2023 18:21:10.84375	51
10-Nov-2023 18:18:48.15625	51
10-Nov-2023 18:15:46.09375	51
10-Nov-2023 18:12:50.625	51
10-Nov-2023 18:10:02.96875	51
10-Nov-2023 18:06:24.28125	51
10-Nov-2023 17:59:28.34375	51
10-Nov-2023 17:53:42.46875	51
10-Nov-2023 17:51:25.03125	51
10-Nov-2023 17:48:29.46875	51
10-Nov-2023 17:44:29.8125	51
10-Nov-2023 17:42:46.5625	51
10-Nov-2023 17:40:55.21875	51
10-Nov-2023 17:37:56.65625	51
10-Nov-2023 17:35:51.375	51
10-Nov-2023 17:35:30.3125	51
10-Nov-2023 17:34:49.1875	51
10-Nov-2023 17:31:35.53125	51
10-Nov-2023 17:26:23.5	51
10-Nov-2023 17:09:08.375	51
10-Nov-2023 17:07:43.125	51
10-Nov-2023 17:03:19.0625	51
10-Nov-2023 16:59:14.09375	51
10-Nov-2023 16:56:42.75	51
10-Nov-2023 16:56:36.75	51
10-Nov-2023 16:53:36.9375	51
10-Nov-2023 16:48:14.9375	51
10-Nov-2023 16:43:10.75	51
10-Nov-2023 16:39:43.25	51
10-Nov-2023 16:37:53.9375	51
10-Nov-2023 16:37:12.8125	51
10-Nov-2023 16:36:56.8125	51
10-Nov-2023 16:34:48.625	51
10-Nov-2023 16:33:26.46875	51
10-Nov-2023 16:27:32.40625	51
10-Nov-2023 16:25:44.0625	51
10-Nov-2023 16:21:24.15625	51
10-Nov-2023 16:14:32.90625	51
10-Nov-2023 16:02:59.8125	51
