Name	\\HST1\T1.A26CBJ2
Data Type	Float 32
Number of Values	56990
Time	Value	Value Attributes
22-Mar-2024 07:56:38.3125	39
22-Mar-2024 07:56:37.3125	40
22-Mar-2024 07:54:38.21875	40
22-Mar-2024 07:54:36.21875	40
22-Mar-2024 07:54:15.21875	40
22-Mar-2024 07:54:13.21875	39
22-Mar-2024 07:53:18.0625	40
22-Mar-2024 07:53:10.0625	39
22-Mar-2024 07:52:40.0625	40
22-Mar-2024 07:52:37.0625	40
22-Mar-2024 07:52:26.0625	40
22-Mar-2024 07:52:08.0625	40
22-Mar-2024 07:52:05.0625	39
22-Mar-2024 07:51:44.875	40
22-Mar-2024 07:51:37.8125	39
22-Mar-2024 07:51:32.8125	40
22-Mar-2024 07:51:03.8125	40
22-Mar-2024 07:51:01.8125	40
22-Mar-2024 07:49:10.53125	40
22-Mar-2024 07:26:10.5	40
22-Mar-2024 07:22:23.3125	39
22-Mar-2024 07:22:22.3125	40
22-Mar-2024 07:22:21.3125	39
22-Mar-2024 07:18:24	39
22-Mar-2024 07:18:02.875	40
22-Mar-2024 07:18:01.875	39
22-Mar-2024 07:17:38.875	40
22-Mar-2024 06:57:42.6875	40
22-Mar-2024 06:57:40.6875	40
22-Mar-2024 06:57:17.6875	40
22-Mar-2024 06:57:06.65625	40
22-Mar-2024 06:56:58.65625	39
22-Mar-2024 06:56:57.65625	40
22-Mar-2024 06:56:35.625	40
22-Mar-2024 06:56:33.625	39
22-Mar-2024 06:30:32.40625	40
22-Mar-2024 06:30:30.40625	40
22-Mar-2024 06:30:27.40625	39
22-Mar-2024 06:29:57.375	40
22-Mar-2024 06:29:49.34375	39
22-Mar-2024 06:29:48.34375	40
22-Mar-2024 06:29:01.3125	40
22-Mar-2024 05:07:15.78125	40
22-Mar-2024 05:07:14.78125	40
22-Mar-2024 05:07:13.78125	40
22-Mar-2024 05:02:42.5625	40
22-Mar-2024 04:54:12.21875	41
22-Mar-2024 04:42:01.71875	43
22-Mar-2024 04:35:56.34375	44
22-Mar-2024 04:28:54.0625	46
22-Mar-2024 04:28:27.03125	47
22-Mar-2024 04:27:54.9375	48
22-Mar-2024 04:27:32.90625	50
22-Mar-2024 04:27:15.90625	52
22-Mar-2024 04:26:57.90625	54
22-Mar-2024 04:26:05.84375	55
22-Mar-2024 04:24:23.8125	55
22-Mar-2024 04:23:32.8125	56
22-Mar-2024 04:22:54.8125	58
22-Mar-2024 04:22:32.8125	60
22-Mar-2024 04:22:11.8125	62
22-Mar-2024 04:22:03.8125	63
22-Mar-2024 04:20:50.71875	64
22-Mar-2024 04:14:53.375	64
22-Mar-2024 04:02:14.875	64
22-Mar-2024 03:56:31.5625	64
22-Mar-2024 03:52:48.4375	64
22-Mar-2024 03:52:08.28125	65
22-Mar-2024 03:50:49.28125	65
22-Mar-2024 03:43:52.84375	65
22-Mar-2024 03:37:14.46875	65
22-Mar-2024 03:24:45.71875	65
22-Mar-2024 03:10:24.6875	65
22-Mar-2024 03:02:40.28125	64
22-Mar-2024 02:59:52.0625	64
22-Mar-2024 02:57:19.03125	64
22-Mar-2024 02:55:07.875	64
22-Mar-2024 02:51:50.46875	64
22-Mar-2024 02:50:58.375	64
22-Mar-2024 02:40:47	64
22-Mar-2024 02:36:37.84375	64
22-Mar-2024 02:33:05.59375	64
22-Mar-2024 02:29:04.3125	64
22-Mar-2024 02:25:01.125	64
22-Mar-2024 01:55:27.1875	64
22-Mar-2024 01:45:28.625	64
22-Mar-2024 01:39:43.3125	64
22-Mar-2024 01:38:00.25	63
22-Mar-2024 01:31:21.875	64
22-Mar-2024 01:28:17.78125	63
22-Mar-2024 01:24:43.625	64
22-Mar-2024 01:20:31.375	64
22-Mar-2024 01:11:46.09375	64
22-Mar-2024 00:41:24.8125	64
22-Mar-2024 00:30:42.34375	64
22-Mar-2024 00:24:29.96875	64
22-Mar-2024 00:21:04.6875	64
22-Mar-2024 00:12:09.4375	64
22-Mar-2024 00:09:49.125	64
22-Mar-2024 00:02:28.75	64
21-Mar-2024 23:58:32.59375	64
21-Mar-2024 23:50:12.25	64
21-Mar-2024 23:46:28.0625	64
21-Mar-2024 23:39:44.8125	64
21-Mar-2024 23:35:46.625	64
21-Mar-2024 23:30:13.96875	64
21-Mar-2024 23:22:44.625	64
21-Mar-2024 23:16:29.4375	64
21-Mar-2024 23:11:37.21875	64
21-Mar-2024 23:05:35.90625	64
21-Mar-2024 23:01:28.84375	64
21-Mar-2024 22:56:38.59375	64
21-Mar-2024 22:49:51.25	64
21-Mar-2024 22:46:01.0625	64
21-Mar-2024 22:38:03.75	64
21-Mar-2024 22:29:04.21875	64
21-Mar-2024 22:23:13.9375	64
21-Mar-2024 22:21:00.78125	64
21-Mar-2024 22:15:23.5625	63
21-Mar-2024 22:12:54.3125	64
21-Mar-2024 22:10:17.21875	64
21-Mar-2024 22:08:43.03125	63
21-Mar-2024 22:07:12.96875	63
21-Mar-2024 22:06:15.90625	64
21-Mar-2024 22:05:02.8125	64
21-Mar-2024 21:51:13.8125	64
21-Mar-2024 21:37:02.15625	64
21-Mar-2024 21:24:44.59375	64
21-Mar-2024 21:14:38.0625	64
21-Mar-2024 21:10:38.96875	64
21-Mar-2024 20:54:21.5	64
21-Mar-2024 20:49:20.21875	64
21-Mar-2024 20:29:45.59375	64
21-Mar-2024 20:11:44	64
21-Mar-2024 19:55:31.03125	64
21-Mar-2024 19:30:35.96875	64
21-Mar-2024 18:54:27.5625	64
21-Mar-2024 18:01:05	64
21-Mar-2024 17:17:22.0625	64
21-Mar-2024 17:13:12.75	64
21-Mar-2024 15:52:58.65625	64
21-Mar-2024 15:38:22.09375	64
21-Mar-2024 15:15:37.3125	64
21-Mar-2024 15:11:17.09375	64
21-Mar-2024 15:11:07.09375	64
21-Mar-2024 15:10:45.09375	64
21-Mar-2024 15:05:47.84375	64
21-Mar-2024 14:59:15.53125	64
21-Mar-2024 14:53:18.375	64
21-Mar-2024 14:48:11.25	64
21-Mar-2024 14:39:56	64
21-Mar-2024 14:00:11.375	65
21-Mar-2024 13:34:35.65625	65
21-Mar-2024 13:03:16.6875	65
21-Mar-2024 12:40:57.625	66
21-Mar-2024 12:03:33.15625	66
21-Mar-2024 11:35:37.65625	67
21-Mar-2024 11:35:25.65625	67
21-Mar-2024 11:35:23.65625	66
21-Mar-2024 11:35:16.65625	67
21-Mar-2024 11:34:51.59375	67
21-Mar-2024 11:34:44.59375	67
21-Mar-2024 11:34:08.5625	67
21-Mar-2024 11:33:53.5625	67
21-Mar-2024 11:33:33.5625	66
21-Mar-2024 11:33:25.5625	67
21-Mar-2024 11:33:18.5625	66
21-Mar-2024 11:33:17.5625	67
21-Mar-2024 11:33:08.5625	67
21-Mar-2024 11:33:06.5625	66
21-Mar-2024 10:43:25.5625	67
21-Mar-2024 10:34:34.15625	67
21-Mar-2024 10:09:43.21875	67
21-Mar-2024 09:33:33.53125	67
21-Mar-2024 08:46:45.90625	67
21-Mar-2024 08:25:59.1875	67
21-Mar-2024 08:14:43.21875	67
21-Mar-2024 07:41:53.9375	67
21-Mar-2024 07:34:51.6875	67
21-Mar-2024 07:33:39.625	67
21-Mar-2024 07:16:56.96875	67
21-Mar-2024 06:58:48.8125	67
21-Mar-2024 06:49:04.4375	67
21-Mar-2024 06:41:59.21875	67
21-Mar-2024 06:35:54.6875	67
21-Mar-2024 06:30:04.5	67
21-Mar-2024 06:26:16.4375	67
21-Mar-2024 06:12:37.875	67
21-Mar-2024 06:01:57.75	67
21-Mar-2024 05:58:57.5	67
21-Mar-2024 05:39:50.53125	67
21-Mar-2024 05:34:52.15625	67
21-Mar-2024 05:29:12	67
21-Mar-2024 05:28:56	66
21-Mar-2024 05:28:14.96875	67
21-Mar-2024 05:25:44.875	67
21-Mar-2024 05:22:48.78125	67
21-Mar-2024 05:22:45.78125	66
21-Mar-2024 05:21:53.75	67
21-Mar-2024 05:21:41.75	67
21-Mar-2024 05:21:33.75	67
21-Mar-2024 05:21:19.75	67
21-Mar-2024 05:21:18.75	66
21-Mar-2024 05:21:17.75	67
21-Mar-2024 05:12:31.34375	66
21-Mar-2024 05:10:39.21875	66
21-Mar-2024 05:08:17.21875	65
21-Mar-2024 05:07:36.15625	65
21-Mar-2024 05:06:25.09375	66
21-Mar-2024 04:57:46.65625	66
21-Mar-2024 04:49:35.125	66
21-Mar-2024 04:45:50.9375	66
21-Mar-2024 04:12:35.28125	66
21-Mar-2024 04:00:45.59375	66
21-Mar-2024 03:53:05.125	66
21-Mar-2024 03:53:02.125	66
21-Mar-2024 03:43:42.78125	65
21-Mar-2024 03:34:16	65
21-Mar-2024 03:15:42.4375	65
21-Mar-2024 02:50:27.3125	65
21-Mar-2024 02:45:10.09375	64
21-Mar-2024 02:39:25.75	64
21-Mar-2024 02:35:45.5625	64
21-Mar-2024 02:26:48.375	64
21-Mar-2024 02:06:35.28125	64
21-Mar-2024 01:45:53.5625	64
21-Mar-2024 01:35:47.21875	64
21-Mar-2024 01:17:41.4375	64
21-Mar-2024 01:09:48.0625	64
21-Mar-2024 00:44:30.90625	64
21-Mar-2024 00:12:35.40625	64
21-Mar-2024 00:03:22.1875	64
20-Mar-2024 23:57:50.90625	64
20-Mar-2024 23:54:32.75	63
20-Mar-2024 23:52:46.71875	64
20-Mar-2024 23:49:03.5	64
20-Mar-2024 23:43:23.21875	64
20-Mar-2024 23:35:22.6875	64
20-Mar-2024 23:23:40.25	64
20-Mar-2024 23:15:56.84375	64
20-Mar-2024 23:04:01.375	64
20-Mar-2024 22:54:09.125	64
20-Mar-2024 22:37:33.59375	64
20-Mar-2024 22:32:46.5	64
20-Mar-2024 22:19:55.90625	64
20-Mar-2024 21:59:22.25	64
20-Mar-2024 21:53:23.875	64
20-Mar-2024 21:33:19.90625	64
20-Mar-2024 21:22:55.625	64
20-Mar-2024 21:15:16.15625	64
20-Mar-2024 21:03:59.625	64
20-Mar-2024 20:52:03	64
20-Mar-2024 20:45:29.78125	64
20-Mar-2024 20:29:54.84375	64
20-Mar-2024 20:20:31.5	64
20-Mar-2024 20:11:45.21875	64
20-Mar-2024 20:06:00.8125	64
20-Mar-2024 19:44:30.25	64
20-Mar-2024 19:36:43.90625	64
20-Mar-2024 19:22:47.25	64
20-Mar-2024 18:26:58.125	64
20-Mar-2024 17:31:39.5625	64
20-Mar-2024 17:00:50.40625	64
20-Mar-2024 16:43:43.6875	64
20-Mar-2024 16:34:37.28125	64
20-Mar-2024 16:16:36.125	64
20-Mar-2024 16:05:14.5625	64
20-Mar-2024 15:20:45.375	64
20-Mar-2024 15:16:21.125	64
20-Mar-2024 15:09:15.6875	64
20-Mar-2024 15:05:58.5625	64
20-Mar-2024 15:04:26.53125	64
20-Mar-2024 15:02:22.3125	64
20-Mar-2024 14:59:22.1875	64
20-Mar-2024 14:59:18.15625	64
20-Mar-2024 14:54:19.9375	64
20-Mar-2024 14:51:52.84375	64
20-Mar-2024 14:47:53.59375	64
20-Mar-2024 14:35:43.09375	64
20-Mar-2024 14:33:50	64
20-Mar-2024 14:31:55.90625	64
20-Mar-2024 14:28:56.84375	64
20-Mar-2024 14:27:19.78125	64
20-Mar-2024 14:26:32.65625	64
20-Mar-2024 14:21:42.625	64
20-Mar-2024 13:45:34.5625	65
20-Mar-2024 13:09:28.46875	65
20-Mar-2024 12:59:16.71875	65
20-Mar-2024 12:24:50.03125	66
20-Mar-2024 12:24:47.03125	66
20-Mar-2024 12:09:43.5625	66
20-Mar-2024 11:52:35.28125	66
20-Mar-2024 11:11:02.4375	67
20-Mar-2024 10:27:19.34375	67
20-Mar-2024 10:18:06.6875	67
20-Mar-2024 10:10:48.375	67
20-Mar-2024 09:41:11.125	67
20-Mar-2024 09:32:40.46875	67
20-Mar-2024 09:10:25.4375	67
20-Mar-2024 09:00:56.21875	67
20-Mar-2024 08:58:56.125	67
20-Mar-2024 08:54:45.875	67
