Name	\\HST1\T3.PTVIB_B
Data Type	Float 32
Number of Values	1339
Time	Value	Value Attributes
6-Feb-2024 15:18:30.96193	0.8
6-Feb-2024 07:27:49.00461	0.7
5-Feb-2024 23:36:45.94151	0.7
5-Feb-2024 23:36:44.66171	8.5
5-Feb-2024 23:36:17.78583	7.0
5-Feb-2024 23:36:17.14592	1.3
5-Feb-2024 23:36:15.86612	8.4
5-Feb-2024 23:35:45.79071	5.6
5-Feb-2024 23:35:43.87102	1.0
5-Feb-2024 18:56:25.87637	0.7
5-Feb-2024 11:05:45.21786	0.7
5-Feb-2024 03:15:03.92343	0.8
4-Feb-2024 19:24:22.29407	1.0
4-Feb-2024 11:33:40.97466	0.7
4-Feb-2024 03:42:59.02634	0.6
3-Feb-2024 19:52:17.39696	0.7
3-Feb-2024 12:01:36.07654	0.7
3-Feb-2024 04:10:54.12923	0.7
2-Feb-2024 20:20:12.50485	0.7
2-Feb-2024 12:29:30.54454	0.7
2-Feb-2024 04:38:48.59322	0.7
1-Feb-2024 20:48:07.28479	0.8
1-Feb-2024 12:57:28.51799	0.7
1-Feb-2024 05:06:47.51653	0.7
31-Jan-2024 21:16:05.56421	0.8
31-Jan-2024 13:25:23.61987	0.7
31-Jan-2024 05:34:41.68056	0.7
30-Jan-2024 21:44:00.69308	0.7
30-Jan-2024 13:53:20.00858	0.7
30-Jan-2024 06:02:39.01611	0.7
29-Jan-2024 22:11:57.07979	0.7
29-Jan-2024 14:21:15.14047	0.7
29-Jan-2024 06:30:32.23129	0.7
29-Jan-2024 06:29:20.705	Intf Shut
29-Jan-2024 06:20:32.3261	0.8
29-Jan-2024 06:20:31.0463	0.7
29-Jan-2024 06:10:31.14108	0.7
29-Jan-2024 06:10:30.50119	0.6
29-Jan-2024 06:00:30.59598	0.7
29-Jan-2024 06:00:29.31618	0.8
29-Jan-2024 05:50:29.73093	0.7
29-Jan-2024 05:50:28.45113	0.7
29-Jan-2024 05:40:28.54692	0.7
29-Jan-2024 05:40:27.90703	0.8
29-Jan-2024 05:30:28.00082	0.7
29-Jan-2024 05:30:26.72202	0.7
29-Jan-2024 05:20:26.81682	0.6
29-Jan-2024 05:20:25.85696	0.7
29-Jan-2024 05:10:25.95177	0.8
29-Jan-2024 05:10:24.99191	0.7
29-Jan-2024 05:00:25.08672	0.6
29-Jan-2024 05:00:24.12686	0.8
29-Jan-2024 04:50:24.22166	0.6
29-Jan-2024 04:50:22.94185	0.7
29-Jan-2024 04:40:23.03665	0.7
29-Jan-2024 04:40:22.39676	0.7
29-Jan-2024 04:30:22.49155	0.7
29-Jan-2024 04:30:21.53169	0.7
29-Jan-2024 04:20:21.6265	0.8
29-Jan-2024 04:20:20.34669	0.7
29-Jan-2024 04:10:20.4415	0.7
29-Jan-2024 04:10:19.80159	0.7
29-Jan-2024 04:00:19.89639	0.8
29-Jan-2024 04:00:18.61659	0.7
29-Jan-2024 03:50:18.71138	0.7
29-Jan-2024 03:50:17.75153	0.7
29-Jan-2024 03:40:17.84633	0.7
29-Jan-2024 03:40:17.20644	0.7
29-Jan-2024 03:30:17.30122	0.6
29-Jan-2024 03:30:16.02142	0.7
29-Jan-2024 03:20:16.11722	0.9
29-Jan-2024 03:20:15.15738	0.6
29-Jan-2024 03:10:15.25217	0.6
29-Jan-2024 03:10:14.29231	0.7
29-Jan-2024 03:00:14.38712	0.7
29-Jan-2024 03:00:13.42726	0.7
29-Jan-2024 02:50:13.52206	0.7
29-Jan-2024 02:50:12.24226	0.7
29-Jan-2024 02:40:12.33707	0.6
29-Jan-2024 02:40:11.69716	0.8
29-Jan-2024 02:30:11.79196	0.9
29-Jan-2024 02:30:10.51215	0.8
29-Jan-2024 02:20:10.92691	0.8
29-Jan-2024 02:20:09.96706	0.7
29-Jan-2024 02:10:10.06184	0.9
29-Jan-2024 02:10:09.10199	0.8
29-Jan-2024 02:00:09.19679	0.7
29-Jan-2024 02:00:07.91699	0.6
29-Jan-2024 01:50:08.97165	0.7
29-Jan-2024 01:50:05.45218	0.7
28-Jan-2024 22:01:28.58119	0.7
28-Jan-2024 14:10:46.63187	0.7
28-Jan-2024 06:20:06.59525	0.8
27-Jan-2024 22:29:24.65993	0.8
27-Jan-2024 14:38:42.71161	0.7
27-Jan-2024 06:48:03.00694	0.7
26-Jan-2024 22:57:21.05263	0.7
26-Jan-2024 15:06:39.0983	0.7
26-Jan-2024 07:15:57.14598	0.8
25-Jan-2024 23:25:17.10837	0.7
25-Jan-2024 15:34:35.14905	0.7
25-Jan-2024 07:43:53.18573	0.7
24-Jan-2024 23:53:12.19026	0.6
24-Jan-2024 16:02:31.50975	0.7
24-Jan-2024 08:11:48.26863	0.7
24-Jan-2024 08:09:15.259	Intf Shut
24-Jan-2024 08:01:48.36343	0.7
24-Jan-2024 08:01:47.40358	0.7
24-Jan-2024 07:51:47.49738	0.7
24-Jan-2024 07:51:46.53752	0.7
24-Jan-2024 07:41:46.63232	0.7
24-Jan-2024 07:41:45.67247	0.7
24-Jan-2024 07:31:45.76727	0.8
24-Jan-2024 07:31:44.48746	0.7
24-Jan-2024 07:21:45.22116	0.7
24-Jan-2024 07:21:43.94136	0.7
24-Jan-2024 07:11:44.03616	0.7
24-Jan-2024 07:11:43.07631	0.7
24-Jan-2024 07:01:43.1701	0.7
24-Jan-2024 07:01:41.8903	0.7
24-Jan-2024 06:51:41.98511	0.6
24-Jan-2024 06:51:41.3452	0.9
24-Jan-2024 06:41:41.439	0.7
24-Jan-2024 06:41:40.15919	0.9
24-Jan-2024 06:31:40.254	0.7
24-Jan-2024 06:31:39.61409	0.7
