Name	\\HST1\T1.BB1
Data Type	Float 32
Number of Values	1403
Time	Value	Value Attributes
29-Dec-2023 18:16:26.09375	-0.2
29-Dec-2023 10:25:56.84375	-0.2
29-Dec-2023 02:35:23.09375	-0.2
28-Dec-2023 18:44:55.78125	-0.2
28-Dec-2023 10:54:32.625	-0.2
28-Dec-2023 03:04:07.15625	-0.2
27-Dec-2023 19:12:57.71875	-0.2
27-Dec-2023 11:22:22.3125	-0.2
27-Dec-2023 03:31:53.65625	-0.2
26-Dec-2023 19:41:32.09375	-0.2
26-Dec-2023 11:51:07.5	-0.2
26-Dec-2023 03:55:28.875	-0.3
25-Dec-2023 20:00:35.53125	-0.2
25-Dec-2023 12:04:08.4375	-0.2
25-Dec-2023 04:08:49.21875	-0.2
24-Dec-2023 20:18:28.625	-0.2
24-Dec-2023 12:28:06.4375	-0.2
24-Dec-2023 04:37:42.0625	-0.2
23-Dec-2023 20:47:05.8125	-0.2
23-Dec-2023 12:56:03.125	-0.2
23-Dec-2023 05:05:32.3125	-0.2
22-Dec-2023 21:15:05.59375	-0.2
22-Dec-2023 13:24:32.40625	-0.2
22-Dec-2023 05:33:56.6875	-0.2
21-Dec-2023 21:43:25.125	-0.2
21-Dec-2023 13:52:55.53125	-0.2
21-Dec-2023 06:00:16.59375	-0.2
20-Dec-2023 22:09:44.6875	-0.2
20-Dec-2023 14:15:45.875	-0.2
20-Dec-2023 06:25:14.65625	-0.2
19-Dec-2023 22:34:43.5625	-0.2
19-Dec-2023 14:44:09.96875	-0.2
19-Dec-2023 06:45:20.625	-0.2
18-Dec-2023 22:54:50.65625	-0.2
18-Dec-2023 15:02:45.09375	-0.2
18-Dec-2023 07:12:14.78125	-0.2
17-Dec-2023 23:12:57	-0.2
17-Dec-2023 15:22:25.3125	-0.2
17-Dec-2023 07:31:59.625	-0.2
16-Dec-2023 23:32:00	-0.2
16-Dec-2023 15:35:25.3125	-0.2
16-Dec-2023 07:44:55.0625	-0.2
15-Dec-2023 23:54:26.71875	-0.2
15-Dec-2023 16:03:57.46875	-0.2
15-Dec-2023 08:13:35.40625	-0.2
15-Dec-2023 00:23:08.21875	-0.2
14-Dec-2023 16:32:47.09375	-0.2
14-Dec-2023 08:42:23.59375	-0.2
14-Dec-2023 00:52:08.84375	-0.2
13-Dec-2023 17:01:50.5625	-0.2
13-Dec-2023 09:11:32.15625	-0.2
13-Dec-2023 01:18:00.1875	0.0
13-Dec-2023 01:17:38.1875	-0.1
13-Dec-2023 01:17:23.1875	0.3
13-Dec-2023 01:17:20.1875	2.3
13-Dec-2023 01:17:19.1875	1.4
13-Dec-2023 01:17:17.1875	0.4
13-Dec-2023 01:17:15.1875	0.3
13-Dec-2023 01:17:13.1875	1.0
13-Dec-2023 01:13:05.90625	1.0
13-Dec-2023 01:12:41.90625	1.4
13-Dec-2023 01:12:31.90625	1.3
13-Dec-2023 01:12:26.90625	2.4
13-Dec-2023 01:12:24.90625	1.6
13-Dec-2023 01:10:43.8125	1.9
13-Dec-2023 01:09:59.75	1.4
13-Dec-2023 01:00:47.71875	1.0
13-Dec-2023 00:55:49.375	1.0
13-Dec-2023 00:53:57.21875	0.7
13-Dec-2023 00:23:20.9375	0.6
12-Dec-2023 16:23:32.125	0.5
12-Dec-2023 08:32:06.28125	0.4
12-Dec-2023 01:20:08.125	0.6
11-Dec-2023 17:29:31.09375	0.5
11-Dec-2023 09:35:14.75	0.5
11-Dec-2023 01:45:13.40625	0.5
10-Dec-2023 17:46:49.40625	0.6
10-Dec-2023 09:52:34.90625	0.4
10-Dec-2023 01:58:07.375	0.5
9-Dec-2023 18:07:41.59375	0.5
9-Dec-2023 10:11:26.3125	0.5
9-Dec-2023 02:20:06.375	0.5
8-Dec-2023 18:28:38.1875	0.6
8-Dec-2023 10:33:11.15625	0.4
8-Dec-2023 10:18:41.5625	0.9
8-Dec-2023 10:17:18.5625	1.8
8-Dec-2023 10:15:54.53125	1.8
8-Dec-2023 10:12:29.75	1.4
8-Dec-2023 10:11:44.6875	1.0
8-Dec-2023 10:11:39.6875	0.9
8-Dec-2023 10:11:36.6875	1.4
8-Dec-2023 10:11:35.6875	2.1
8-Dec-2023 10:11:33.6875	2.2
8-Dec-2023 10:11:28.6875	0.8
8-Dec-2023 10:11:24.6875	0.5
8-Dec-2023 10:11:16.6875	0.3
8-Dec-2023 10:11:13.6875	1.8
8-Dec-2023 10:11:12.6875	0.6
8-Dec-2023 10:11:09.6875	0.0
8-Dec-2023 09:07:06.53125	-0.2
8-Dec-2023 01:14:57.75	-0.2
7-Dec-2023 17:24:23.28125	-0.2
7-Dec-2023 09:33:58.78125	-0.2
7-Dec-2023 01:43:39.3125	-0.2
6-Dec-2023 17:53:09.40625	-0.2
6-Dec-2023 10:01:27.84375	-0.2
6-Dec-2023 02:10:59.75	-0.2
5-Dec-2023 18:18:26.875	-0.2
5-Dec-2023 10:24:46.0625	-0.2
5-Dec-2023 02:34:16.125	-0.2
4-Dec-2023 18:43:48.21875	-0.2
4-Dec-2023 10:52:41.96875	-0.2
4-Dec-2023 03:02:17.09375	-0.2
4-Dec-2023 03:01:12.75	Bad
4-Dec-2023 02:59:47.6875	-0.2
4-Dec-2023 01:57:30.21875	Bad
3-Dec-2023 18:00:30.53125	-0.2
3-Dec-2023 10:09:10.59375	-0.2
3-Dec-2023 02:18:42.5	-0.2
2-Dec-2023 18:28:14.71875	-0.2
2-Dec-2023 10:37:45.40625	-0.1
2-Dec-2023 02:40:36.78125	-0.2
1-Dec-2023 18:50:04.75	-0.2
1-Dec-2023 10:50:35.125	-0.2
1-Dec-2023 03:00:05.09375	-0.2
30-Nov-2023 19:09:33.40625	-0.2
30-Nov-2023 11:19:00.5	-0.2
30-Nov-2023 03:28:28.15625	-0.2
29-Nov-2023 19:37:59.1875	-0.2
29-Nov-2023 11:47:29.65625	-0.2
29-Nov-2023 03:56:54.6875	-0.2
28-Nov-2023 19:58:17.75	-0.1
28-Nov-2023 12:00:48.46875	-0.2
28-Nov-2023 04:10:20.84375	-0.2
27-Nov-2023 20:19:49.5	-0.2
27-Nov-2023 12:29:15.4375	-0.2
27-Nov-2023 12:29:02.54201	Intf Shut
27-Nov-2023 08:41:48.4375	-0.2
27-Nov-2023 00:51:22.625	-0.2
26-Nov-2023 17:00:49.65625	-0.2
26-Nov-2023 09:10:16.65625	-0.2
26-Nov-2023 01:10:31.8125	-0.2
25-Nov-2023 17:20:10.21875	-0.2
25-Nov-2023 09:29:17.4375	-0.1
25-Nov-2023 09:29:08.4375	0.3
25-Nov-2023 09:29:06.4375	1.6
25-Nov-2023 09:29:01.4375	0.3
25-Nov-2023 09:28:57.4375	0.9
25-Nov-2023 09:24:34.75	0.9
25-Nov-2023 09:24:23.75	1.4
25-Nov-2023 09:24:16.71875	1.1
25-Nov-2023 09:24:11.71875	2.8
25-Nov-2023 09:24:09.71875	1.6
25-Nov-2023 09:24:07.71875	1.3
25-Nov-2023 09:22:10.46875	1.3
25-Nov-2023 09:19:16.5625	1.0
25-Nov-2023 09:18:55.5	0.6
25-Nov-2023 05:26:59.96875	0.4
24-Nov-2023 21:36:30.28125	0.4
24-Nov-2023 13:44:02.53125	0.4
24-Nov-2023 05:50:19.15625	0.5
23-Nov-2023 23:31:17.25	0.6
23-Nov-2023 15:40:42.71875	0.5
23-Nov-2023 07:48:13.3125	0.5
23-Nov-2023 07:46:21.96875	0.8
23-Nov-2023 04:40:40.78125	1.0
23-Nov-2023 01:37:18.875	0.8
22-Nov-2023 20:45:47.4375	0.7
22-Nov-2023 14:28:04.5625	0.7
22-Nov-2023 06:33:32.59375	0.8
22-Nov-2023 06:31:20.34375	1.6
22-Nov-2023 06:22:13.125	1.4
22-Nov-2023 06:18:04.59375	1.1
22-Nov-2023 06:16:46.4375	0.9
22-Nov-2023 06:16:39.40625	0.8
22-Nov-2023 06:16:31.40625	0.8
22-Nov-2023 06:16:29.40625	1.5
22-Nov-2023 06:16:28.40625	1.0
22-Nov-2023 06:16:25.40625	1.8
22-Nov-2023 06:16:19.375	0.4
22-Nov-2023 06:16:08.3125	0.1
22-Nov-2023 06:16:06.28125	1.3
22-Nov-2023 06:16:05.28125	0.4
22-Nov-2023 06:16:04.28125	0.1
22-Nov-2023 06:15:37.25	-0.2
22-Nov-2023 04:29:32.71875	-0.2
22-Nov-2023 04:29:29.65625	0.1
22-Nov-2023 04:29:25.65625	-0.1
22-Nov-2023 04:22:13.75	-0.1
22-Nov-2023 04:22:11.75	0.3
22-Nov-2023 04:22:09.75	-0.2
22-Nov-2023 03:06:32.5625	0.0
22-Nov-2023 03:06:29.5625	0.5
22-Nov-2023 03:06:27.5625	0.1
22-Nov-2023 03:06:04.5	-0.2
22-Nov-2023 03:06:02.5	0.0
22-Nov-2023 03:02:59.78125	0.1
22-Nov-2023 03:02:57.78125	-0.2
22-Nov-2023 02:58:27.21875	-0.1
22-Nov-2023 02:58:20.21875	1.3
22-Nov-2023 02:58:18.21875	0.4
22-Nov-2023 02:58:16.21875	0.0
22-Nov-2023 02:55:23.96875	-0.1
22-Nov-2023 02:54:53.90625	0.0
22-Nov-2023 02:54:51.90625	0.4
22-Nov-2023 02:54:50.875	1.2
22-Nov-2023 02:54:48.84375	-0.1
22-Nov-2023 01:29:14.5625	-0.3
22-Nov-2023 01:27:59.1875	0.0
22-Nov-2023 01:27:54.15625	0.7
22-Nov-2023 01:27:52.15625	2.3
22-Nov-2023 01:27:49.15625	0.6
22-Nov-2023 01:27:47.15625	0.5
22-Nov-2023 01:27:45.15625	1.3
22-Nov-2023 01:27:43.15625	1.1
22-Nov-2023 01:27:42.15625	1.5
22-Nov-2023 01:27:41.15625	2.3
22-Nov-2023 01:27:38.15625	0.4
22-Nov-2023 00:08:36.75	0.5
21-Nov-2023 18:42:51.25	0.5
21-Nov-2023 14:52:31.90625	0.3
21-Nov-2023 09:55:49.65625	0.3
21-Nov-2023 03:14:23.5	0.3
21-Nov-2023 02:53:47	0.6
20-Nov-2023 18:57:31.65625	0.4
20-Nov-2023 13:48:40.09375	0.3
20-Nov-2023 05:56:51.28125	0.4
20-Nov-2023 03:02:09.625	0.5
19-Nov-2023 19:10:54.5	0.3
19-Nov-2023 11:14:02.75	0.3
19-Nov-2023 03:14:48.84375	0.4
19-Nov-2023 01:39:36.46875	0.6
18-Nov-2023 17:52:54.5	0.4
18-Nov-2023 11:12:25.375	0.2
18-Nov-2023 03:12:49.9375	0.4
17-Nov-2023 20:17:52.25	0.5
17-Nov-2023 14:17:18.75	0.3
17-Nov-2023 06:57:12.90625	0.4
16-Nov-2023 22:59:11.375	0.5
16-Nov-2023 21:26:12.28125	0.3
16-Nov-2023 15:00:21.15625	0.3
16-Nov-2023 07:06:30.125	0.3
15-Nov-2023 23:09:39.0625	0.4
15-Nov-2023 15:16:36.15625	0.3
15-Nov-2023 10:09:56.84375	0.3
15-Nov-2023 02:10:44.21875	0.4
14-Nov-2023 23:01:59.875	0.4
14-Nov-2023 18:39:10.8125	0.2
14-Nov-2023 10:41:00.1875	0.3
14-Nov-2023 02:42:07.0625	0.4
13-Nov-2023 22:03:52.21875	0.3
13-Nov-2023 18:05:31.4375	0.2
13-Nov-2023 13:01:48.09375	0.3
13-Nov-2023 05:03:46.5625	0.3
13-Nov-2023 03:15:50.40625	0.4
12-Nov-2023 23:39:23.96875	0.4
12-Nov-2023 15:40:20.0625	0.4
12-Nov-2023 13:12:48.90625	0.2
12-Nov-2023 13:12:47.875	117.6
12-Nov-2023 13:12:46.875	0.2
12-Nov-2023 12:48:27.71875	0.3
12-Nov-2023 07:47:08.8125	0.3
