Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
27-Mar-2024 21:23:43.28125	39
27-Mar-2024 21:02:09.375	38
27-Mar-2024 21:02:01.375	39
27-Mar-2024 21:01:52.375	38
27-Mar-2024 21:01:46.375	38
27-Mar-2024 20:47:18.65625	37
27-Mar-2024 20:47:11.65625	37
27-Mar-2024 20:32:35.09375	37
27-Mar-2024 20:28:34	36
27-Mar-2024 20:07:57.65625	35
27-Mar-2024 19:56:55.25	34
27-Mar-2024 19:53:59.21875	34
27-Mar-2024 19:52:46.1875	33
27-Mar-2024 19:52:24.1875	32
27-Mar-2024 19:52:08.1875	31
27-Mar-2024 19:51:54.1875	28
27-Mar-2024 19:51:38.1875	25
27-Mar-2024 19:51:29.1875	23
27-Mar-2024 19:51:13.1875	22
27-Mar-2024 19:33:18.65625	23
27-Mar-2024 19:32:56.625	23
27-Mar-2024 19:22:22.15625	23
27-Mar-2024 18:32:40.59375	24
27-Mar-2024 18:16:31.65625	24
27-Mar-2024 18:16:28.65625	24
27-Mar-2024 18:03:26.15625	24
27-Mar-2024 17:31:58.875	25
27-Mar-2024 17:01:51.40625	25
27-Mar-2024 17:01:43.375	26
27-Mar-2024 17:01:42.375	25
27-Mar-2024 17:00:24.28125	26
27-Mar-2024 16:16:00.6875	26
27-Mar-2024 15:56:40.21875	26
27-Mar-2024 15:55:32.21875	26
27-Mar-2024 15:55:20.21875	26
27-Mar-2024 15:54:23.1875	26
27-Mar-2024 15:54:02.125	26
27-Mar-2024 15:53:50.125	26
27-Mar-2024 15:53:49.125	26
27-Mar-2024 15:53:42.09375	26
27-Mar-2024 15:53:25.09375	26
27-Mar-2024 15:53:22.09375	26
27-Mar-2024 15:52:35.09375	26
27-Mar-2024 15:52:33.09375	26
27-Mar-2024 15:37:37.5	27
27-Mar-2024 15:36:42.5	27
27-Mar-2024 15:36:38.5	26
27-Mar-2024 15:36:09.5	27
27-Mar-2024 15:36:01.5	27
27-Mar-2024 15:35:33.46875	27
27-Mar-2024 15:35:25.4375	27
27-Mar-2024 15:35:24.4375	26
27-Mar-2024 15:15:40.625	27
27-Mar-2024 15:13:36.53125	27
27-Mar-2024 14:55:15	27
27-Mar-2024 14:26:13.84375	27
27-Mar-2024 13:34:49.3125	28
27-Mar-2024 13:01:43.15625	28
27-Mar-2024 13:01:37.15625	28
27-Mar-2024 12:36:22.125	29
27-Mar-2024 12:13:42.25	29
27-Mar-2024 12:13:09.21875	29
27-Mar-2024 12:13:07.21875	29
27-Mar-2024 11:51:05.53125	29
27-Mar-2024 11:05:56.1875	30
27-Mar-2024 09:51:11.5625	31
27-Mar-2024 09:42:37.25	31
27-Mar-2024 09:18:26.46875	32
27-Mar-2024 08:30:45.875	34
27-Mar-2024 08:16:22.21875	34
27-Mar-2024 07:45:11	36
27-Mar-2024 07:31:37.375	37
27-Mar-2024 07:21:50.90625	38
27-Mar-2024 07:21:41.90625	38
27-Mar-2024 07:21:40.90625	38
27-Mar-2024 07:12:50.71875	39
27-Mar-2024 07:11:03.71875	40
27-Mar-2024 07:07:33.53125	39
27-Mar-2024 06:48:08.875	38
27-Mar-2024 06:47:57.875	38
27-Mar-2024 06:47:52.875	38
27-Mar-2024 06:38:37.46875	37
27-Mar-2024 06:21:10	36
27-Mar-2024 06:18:30.9375	36
27-Mar-2024 06:08:15.59375	35
27-Mar-2024 06:06:34.5625	34
27-Mar-2024 06:05:40.53125	33
27-Mar-2024 06:05:18.53125	32
27-Mar-2024 06:05:04.5	30
27-Mar-2024 06:04:50.5	27
27-Mar-2024 06:04:40.5	25
27-Mar-2024 06:04:22.5	23
27-Mar-2024 05:34:40.6875	24
27-Mar-2024 04:53:16.9375	24
27-Mar-2024 04:08:28.28125	24
27-Mar-2024 03:33:37.09375	24
27-Mar-2024 03:33:34.09375	25
27-Mar-2024 03:32:55.0625	24
27-Mar-2024 03:15:03.34375	25
27-Mar-2024 02:37:54.6875	25
27-Mar-2024 02:21:00.1875	25
27-Mar-2024 02:20:57.1875	25
27-Mar-2024 02:20:35.15625	25
27-Mar-2024 02:20:29.15625	25
27-Mar-2024 02:20:28.15625	25
27-Mar-2024 02:19:33.15625	25
27-Mar-2024 02:19:25.15625	25
27-Mar-2024 02:19:06.15625	25
27-Mar-2024 02:17:59.0625	25
27-Mar-2024 02:17:03.875	25
27-Mar-2024 01:56:46	26
27-Mar-2024 01:36:24	26
27-Mar-2024 01:36:22	26
27-Mar-2024 01:23:58.53125	26
27-Mar-2024 00:00:30.875	27
26-Mar-2024 23:30:11.71875	28
26-Mar-2024 23:13:26.96875	28
26-Mar-2024 21:52:24.5	29
26-Mar-2024 21:24:07.90625	30
26-Mar-2024 20:32:09.6875	31
26-Mar-2024 20:12:02.03125	31
