Date,Time,T3_PTVIB_A
19-Jun-2023,11:33:49.49149,0.7
19-Jun-2023,19:24:30.48495,0.8
20-Jun-2023,03:15:10.20062,0.8
20-Jun-2023,11:05:52.15094,0.7
20-Jun-2023,18:56:34.09926,0.7
21-Jun-2023,02:47:16.04558,0.7
21-Jun-2023,10:37:57.35699,0.7
21-Jun-2023,18:28:39.30331,0.7
22-Jun-2023,02:19:21.25664,0.7
22-Jun-2023,10:10:01.93216,0.7
22-Jun-2023,18:00:43.88248,0.7
23-Jun-2023,01:51:24.87193,0.8
23-Jun-2023,09:42:06.79427,0.7
23-Jun-2023,17:32:46.82687,0.9
24-Jun-2023,01:23:26.86049,0.7
24-Jun-2023,09:14:07.533,0.8
24-Jun-2023,17:04:48.50548,0.7
25-Jun-2023,00:55:30.4478,0.8
25-Jun-2023,08:46:12.38412,0.9
25-Jun-2023,16:36:53.68254,0.8
26-Jun-2023,00:27:34.34906,0.9
26-Jun-2023,08:18:16.30638,0.8
26-Jun-2023,16:08:58.2477,0.7
26-Jun-2023,23:59:39.22517,0.7
27-Jun-2023,07:50:20.19464,0.8
27-Jun-2023,15:41:02.12497,0.7
27-Jun-2023,23:31:44.05528,0.8
28-Jun-2023,07:22:25.98161,0.7
28-Jun-2023,15:13:06.95409,0.7
28-Jun-2023,23:03:48.8864,0.8
29-Jun-2023,06:54:30.81473,0.7
29-Jun-2023,14:45:12.75806,0.6
29-Jun-2023,22:35:53.42557,0.7
30-Jun-2023,06:26:35.37589,0.7
30-Jun-2023,14:17:17.34421,0.8
30-Jun-2023,22:07:59.30952,0.7
1-Jul-2023,05:58:41.27184,0.8
1-Jul-2023,13:49:22.59026,0.7
1-Jul-2023,21:40:03.27177,0.9
2-Jul-2023,05:30:44.27425,0.7
2-Jul-2023,13:21:24.31485,0.7
2-Jul-2023,21:12:06.27417,0.7
3-Jul-2023,05:02:48.2235,0.8
3-Jul-2023,12:53:30.18481,0.7
3-Jul-2023,20:44:12.14613,0.7
4-Jul-2023,04:34:53.46054,0.7
4-Jul-2023,12:25:35.39487,0.7
4-Jul-2023,20:16:17.3382,0.7
5-Jul-2023,04:06:59.28252,0.8
5-Jul-2023,11:57:41.23782,0.8
5-Jul-2023,19:48:21.90234,0.8
6-Jul-2023,03:39:03.84767,0.7
6-Jul-2023,11:29:44.85214,0.7
6-Jul-2023,19:20:25.8586,0.7
7-Jul-2023,03:11:07.80392,0.7
7-Jul-2023,11:01:49.75525,0.7
7-Jul-2023,18:52:30.74571,0.7
8-Jul-2023,02:43:11.42223,0.7
8-Jul-2023,10:33:52.74564,0.7
8-Jul-2023,18:24:34.70096,0.7
9-Jul-2023,02:15:15.68044,0.7
9-Jul-2023,10:05:57.64474,0.8
9-Jul-2023,17:56:38.33325,0.8
10-Jul-2023,01:47:20.29358,0.7
10-Jul-2023,09:38:02.25589,0.7
10-Jul-2023,17:28:43.56131,0.7
11-Jul-2023,01:19:23.27397,0.7
11-Jul-2023,09:10:04.27644,0.7
11-Jul-2023,17:00:46.23276,0.7
12-Jul-2023,00:51:27.23323,0.8
12-Jul-2023,08:42:09.17854,0.8
12-Jul-2023,16:32:51.14087,0.7
12-Jul-2023,23:58:53.33063,3.9
13-Jul-2023,07:58:02.09039,0.7
13-Jul-2023,15:48:43.41582,0.7
13-Jul-2023,23:39:24.09433,0.8
14-Jul-2023,07:30:05.0898,0.7
14-Jul-2023,15:20:46.09126,0.8
14-Jul-2023,23:11:28.04457,0.7
15-Jul-2023,07:02:09.04404,0.7
15-Jul-2023,14:52:51.00636,0.7
15-Jul-2023,22:43:31.67787,0.8
16-Jul-2023,06:34:11.72449,0.8
16-Jul-2023,14:24:53.6998,0.8
16-Jul-2023,22:15:35.66212,0.7
17-Jul-2023,06:06:17.59845,0.7
17-Jul-2023,13:56:59.54677,0.7
17-Jul-2023,21:47:41.52309,0.7
18-Jul-2023,05:38:22.54955,0.7
18-Jul-2023,13:29:03.58101,0.7
18-Jul-2023,21:19:44.60246,0.7
19-Jul-2023,05:10:25.30798,0.6
19-Jul-2023,13:01:06.66139,0.8
19-Jul-2023,20:51:48.64471,0.7
20-Jul-2023,04:42:30.63303,0.7
20-Jul-2023,12:33:12.62834,0.7
20-Jul-2023,20:23:53.33385,0.8
21-Jul-2023,04:14:35.32016,0.8
21-Jul-2023,12:05:17.31548,0.8
21-Jul-2023,19:55:59.3028,0.7
22-Jul-2023,03:46:41.28911,0.7
22-Jul-2023,11:37:23.28542,0.7
22-Jul-2023,19:28:05.27773,1.0
23-Jul-2023,03:18:46.62915,0.8
23-Jul-2023,11:09:28.62346,0.7
23-Jul-2023,19:00:10.60977,0.7
24-Jul-2023,02:50:51.31828,0.7
24-Jul-2023,10:41:32.67569,0.7
24-Jul-2023,18:32:13.3932,0.6
25-Jul-2023,02:22:54.42467,0.8
25-Jul-2023,10:13:36.42497,0.8
25-Jul-2023,18:04:17.77438,0.7
26-Jul-2023,01:54:58.4859,0.7
26-Jul-2023,09:45:40.48421,0.7
26-Jul-2023,17:36:22.46153,0.7
27-Jul-2023,01:27:04.44785,0.7
