Date,Time,T1_A26BTAB
26-Jun-2023,14:19:45.3125,66
26-Jun-2023,14:21:41.375,66
26-Jun-2023,14:31:06.65625,66
26-Jun-2023,14:33:02.84375,65
26-Jun-2023,14:40:51.125,66
26-Jun-2023,14:45:47.40625,66
26-Jun-2023,14:51:23.5625,66
26-Jun-2023,14:55:24.8125,65
26-Jun-2023,15:16:18.8125,66
26-Jun-2023,15:22:29.15625,66
26-Jun-2023,15:23:53.375,65
26-Jun-2023,15:24:44.4375,65
26-Jun-2023,15:24:47.4375,66
26-Jun-2023,15:31:40.53125,65
26-Jun-2023,15:45:27.78125,65
26-Jun-2023,15:51:00.03125,65
26-Jun-2023,16:06:18.96875,65
26-Jun-2023,16:08:25.03125,65
26-Jun-2023,16:08:52.03125,65
26-Jun-2023,16:11:32.0625,65
26-Jun-2023,16:12:54.1875,65
26-Jun-2023,16:16:00.3125,65
26-Jun-2023,16:18:17.34375,66
26-Jun-2023,16:20:32.40625,66
26-Jun-2023,16:22:49.5,65
26-Jun-2023,16:26:40.625,65
26-Jun-2023,16:31:40.78125,65
26-Jun-2023,16:36:31.90625,65
26-Jun-2023,16:39:11.96875,65
26-Jun-2023,16:41:55.125,66
26-Jun-2023,16:42:24.15625,66
26-Jun-2023,16:42:29.15625,66
26-Jun-2023,16:49:02.3125,67
26-Jun-2023,16:52:09.34375,66
26-Jun-2023,16:53:54.375,66
26-Jun-2023,16:59:53.6875,66
26-Jun-2023,17:02:14.8125,65
26-Jun-2023,17:08:09.25,65
26-Jun-2023,17:28:30.15625,64
26-Jun-2023,17:35:26.40625,64
26-Jun-2023,17:46:47.0625,64
26-Jun-2023,17:47:58.09375,64
26-Jun-2023,17:48:07.09375,64
26-Jun-2023,17:48:27.09375,64
26-Jun-2023,17:48:54.125,64
26-Jun-2023,17:49:29.125,64
26-Jun-2023,17:49:34.125,64
26-Jun-2023,17:50:12.125,64
26-Jun-2023,17:50:13.125,64
26-Jun-2023,17:50:21.125,64
26-Jun-2023,17:57:45.5,63
26-Jun-2023,17:58:49.5,64
26-Jun-2023,18:00:55.5625,65
26-Jun-2023,18:04:17.90625,66
26-Jun-2023,18:17:01.8125,66
26-Jun-2023,18:29:06.25,66
26-Jun-2023,18:33:09.375,66
26-Jun-2023,18:39:23.78125,66
26-Jun-2023,18:50:10.1875,67
26-Jun-2023,19:29:58.71875,67
26-Jun-2023,19:36:34.09375,67
26-Jun-2023,19:42:19.28125,67
26-Jun-2023,19:56:00.71875,67
26-Jun-2023,20:08:17.25,66
26-Jun-2023,20:16:30.4375,66
26-Jun-2023,20:24:43.5625,66
26-Jun-2023,20:48:07.875,65
26-Jun-2023,21:03:53.5,65
26-Jun-2023,21:08:09.59375,65
26-Jun-2023,21:15:42,65
26-Jun-2023,21:19:11.125,65
26-Jun-2023,21:23:52.21875,66
26-Jun-2023,21:27:52.3125,67
26-Jun-2023,21:32:36.46875,67
26-Jun-2023,21:38:45.6875,66
26-Jun-2023,21:45:55.90625,66
26-Jun-2023,21:49:09,65
26-Jun-2023,21:58:24.34375,65
26-Jun-2023,22:13:46.8125,65
26-Jun-2023,22:22:24.15625,65
26-Jun-2023,22:26:18.40625,65
26-Jun-2023,22:30:07.5,65
26-Jun-2023,22:33:31.6875,65
26-Jun-2023,22:36:20.8125,64
26-Jun-2023,22:45:28,64
26-Jun-2023,22:51:32.15625,65
26-Jun-2023,22:57:06.34375,65
26-Jun-2023,23:00:59.53125,65
26-Jun-2023,23:03:22.65625,65
26-Jun-2023,23:04:20.71875,65
26-Jun-2023,23:04:40.78125,65
26-Jun-2023,23:06:57.78125,65
26-Jun-2023,23:14:31.96875,65
26-Jun-2023,23:19:09.34375,64
26-Jun-2023,23:36:17.90625,64
26-Jun-2023,23:44:38.28125,64
26-Jun-2023,23:57:28.96875,64
27-Jun-2023,00:05:04.25,65
27-Jun-2023,00:05:10.3125,65
27-Jun-2023,00:09:33.5,66
27-Jun-2023,00:14:59.90625,66
27-Jun-2023,00:15:01.90625,66
27-Jun-2023,00:17:25.03125,66
27-Jun-2023,00:25:04.46875,66
27-Jun-2023,00:25:13.46875,66
27-Jun-2023,00:27:58.5625,66
27-Jun-2023,00:31:19.71875,66
27-Jun-2023,00:32:18.75,66
27-Jun-2023,00:32:27.75,66
27-Jun-2023,00:34:15.8125,66
27-Jun-2023,00:43:46.09375,66
27-Jun-2023,00:51:44.625,66
27-Jun-2023,01:04:13.28125,66
27-Jun-2023,01:09:47.46875,66
27-Jun-2023,01:13:32.53125,66
27-Jun-2023,01:21:08.0625,66
27-Jun-2023,01:37:21,66
27-Jun-2023,01:47:12.53125,66
27-Jun-2023,01:51:53.71875,66
27-Jun-2023,02:00:00.9375,66
27-Jun-2023,02:14:46.53125,67
27-Jun-2023,02:24:15.75,67
27-Jun-2023,02:26:51.875,67
27-Jun-2023,02:37:43.34375,67
27-Jun-2023,02:39:25.375,67
27-Jun-2023,02:42:10.4375,67
27-Jun-2023,02:47:33.5625,67
27-Jun-2023,02:49:36.65625,67
27-Jun-2023,02:52:02.71875,67
27-Jun-2023,02:59:31.59375,67
27-Jun-2023,03:03:29.75,67
27-Jun-2023,03:09:20.0625,68
27-Jun-2023,03:13:10.21875,68
27-Jun-2023,03:15:53.25,67
27-Jun-2023,03:26:18.625,68
27-Jun-2023,03:30:21.78125,68
27-Jun-2023,03:38:44.34375,68
27-Jun-2023,03:42:41.53125,68
27-Jun-2023,03:45:40.84375,68
27-Jun-2023,03:51:21.125,69
27-Jun-2023,03:55:47.1875,69
27-Jun-2023,04:01:07.40625,69
27-Jun-2023,04:05:22.625,69
27-Jun-2023,04:13:51.21875,69
27-Jun-2023,04:17:13.4375,69
27-Jun-2023,04:21:23.6875,69
27-Jun-2023,04:23:02.71875,69
27-Jun-2023,04:25:31.75,69
27-Jun-2023,04:28:12.84375,70
27-Jun-2023,04:30:16,69
27-Jun-2023,04:32:48.03125,69
27-Jun-2023,04:34:38.03125,69
27-Jun-2023,04:37:18.21875,69
27-Jun-2023,04:42:54.625,70
27-Jun-2023,04:44:35.6875,69
27-Jun-2023,04:45:58.75,70
27-Jun-2023,04:48:55.90625,69
27-Jun-2023,04:50:46.03125,69
27-Jun-2023,04:55:43.46875,69
27-Jun-2023,05:01:41.6875,69
27-Jun-2023,05:03:06.75,70
27-Jun-2023,05:11:07.0625,69
27-Jun-2023,05:14:22.1875,70
27-Jun-2023,05:15:45.21875,70
27-Jun-2023,05:21:56.3125,71
27-Jun-2023,05:23:06.3125,70
27-Jun-2023,05:23:09.3125,70
27-Jun-2023,05:23:41.375,70
27-Jun-2023,05:23:42.375,71
27-Jun-2023,05:23:43.375,70
27-Jun-2023,05:24:07.40625,70
27-Jun-2023,05:24:09.40625,70
27-Jun-2023,05:25:41.5,71
27-Jun-2023,05:25:44.5,70
27-Jun-2023,05:26:00.5,71
27-Jun-2023,05:26:06.5,70
27-Jun-2023,05:26:08.5,70
27-Jun-2023,05:28:18.65625,70
27-Jun-2023,05:28:20.65625,70
27-Jun-2023,05:28:46.6875,70
27-Jun-2023,05:28:47.6875,71
27-Jun-2023,05:32:03.75,71
27-Jun-2023,05:33:29.8125,70
27-Jun-2023,05:39:09.9375,70
27-Jun-2023,05:43:17.03125,71
27-Jun-2023,05:44:21.0625,70
27-Jun-2023,05:47:50.34375,70
27-Jun-2023,05:49:24.375,70
27-Jun-2023,05:50:24.53125,70
27-Jun-2023,05:50:35.53125,70
27-Jun-2023,05:55:31.6875,71
27-Jun-2023,05:56:45.71875,70
27-Jun-2023,05:56:46.71875,71
27-Jun-2023,05:56:54.71875,70
27-Jun-2023,05:58:27.8125,70
27-Jun-2023,06:00:00.90625,71
27-Jun-2023,06:03:32.09375,71
27-Jun-2023,06:07:56.40625,70
27-Jun-2023,06:09:23.53125,70
27-Jun-2023,06:10:18.5625,70
27-Jun-2023,06:10:21.5625,70
27-Jun-2023,06:14:12.6875,71
27-Jun-2023,06:16:42.75,71
27-Jun-2023,06:19:10.84375,71
27-Jun-2023,06:21:27.03125,70
27-Jun-2023,06:21:31.03125,70
27-Jun-2023,06:24:53.25,71
27-Jun-2023,06:28:17.34375,71
27-Jun-2023,06:30:35.46875,70
27-Jun-2023,06:37:38,70
27-Jun-2023,06:37:50.03125,70
27-Jun-2023,06:39:09.03125,71
27-Jun-2023,06:41:34.1875,70
27-Jun-2023,06:42:41.21875,71
27-Jun-2023,06:45:32.34375,71
27-Jun-2023,06:46:37.46875,71
27-Jun-2023,06:48:51.625,71
27-Jun-2023,06:52:07.78125,71
27-Jun-2023,06:53:49.84375,71
27-Jun-2023,06:56:37.90625,71
27-Jun-2023,06:58:28.03125,71
27-Jun-2023,07:00:38.03125,71
27-Jun-2023,07:03:05.125,71
