Date,Time,T1_BBH1
6-Jul-2023,11:07:10.90625,0.0
6-Jul-2023,14:08:39.84375,0.0
6-Jul-2023,14:08:41.84375,0.8
6-Jul-2023,19:55:33.4375,0.8
6-Jul-2023,20:01:05.5,0.7
6-Jul-2023,20:03:23.5,0.6
6-Jul-2023,20:07:11.71875,0.7
6-Jul-2023,20:19:53.96875,0.7
6-Jul-2023,20:24:15.03125,0.6
6-Jul-2023,20:24:44.09375,0.5
6-Jul-2023,20:28:44.15625,0.8
6-Jul-2023,20:31:31.28125,0.4
6-Jul-2023,20:31:34.28125,0.1
6-Jul-2023,20:31:50.3125,0.2
6-Jul-2023,20:31:57.3125,0.3
6-Jul-2023,20:32:06.34375,0.0
6-Jul-2023,20:32:10.375,0.4
6-Jul-2023,20:32:28.375,0.2
6-Jul-2023,20:32:40.375,0.1
6-Jul-2023,20:32:49.375,0.4
6-Jul-2023,20:33:09.40625,0.1
6-Jul-2023,20:33:39.4375,0.2
6-Jul-2023,20:34:00.4375,0.6
6-Jul-2023,20:41:09.65625,0.5
6-Jul-2023,20:41:30.6875,0.5
6-Jul-2023,20:45:12.78125,0.5
6-Jul-2023,20:53:14.125,0.6
6-Jul-2023,20:53:21.15625,0.0
6-Jul-2023,20:54:09.21875,0.3
6-Jul-2023,20:54:32.21875,0.3
6-Jul-2023,20:54:34.21875,0.0
6-Jul-2023,20:55:09.21875,0.0
6-Jul-2023,20:55:13.21875,0.4
6-Jul-2023,20:56:01.28125,0.5
6-Jul-2023,20:56:05.28125,0.0
6-Jul-2023,20:56:22.28125,0.1
6-Jul-2023,20:58:50.34375,0.1
6-Jul-2023,20:59:06.34375,0.2
6-Jul-2023,21:04:47.5625,0.2
6-Jul-2023,21:04:53.5625,0.7
6-Jul-2023,21:12:09.90625,0.4
6-Jul-2023,21:12:14.90625,0.0
6-Jul-2023,21:13:22.90625,0.1
6-Jul-2023,21:13:54.9375,0.4
6-Jul-2023,21:14:01.9375,0.0
6-Jul-2023,21:14:06.9375,0.4
6-Jul-2023,21:15:05.96875,0.1
6-Jul-2023,21:16:08.0625,0.3
6-Jul-2023,21:16:13.09375,0.0
6-Jul-2023,21:17:57.21875,0.2
6-Jul-2023,21:18:07.21875,0.5
6-Jul-2023,21:20:51.34375,0.2
6-Jul-2023,21:20:53.34375,0.0
6-Jul-2023,21:23:11.34375,0.2
6-Jul-2023,21:23:43.375,0.5
6-Jul-2023,21:26:14.5,0.5
6-Jul-2023,21:31:06.625,0.3
6-Jul-2023,21:31:08.625,0.0
6-Jul-2023,21:32:51.71875,0.3
6-Jul-2023,21:32:58.71875,0.6
6-Jul-2023,21:35:08.75,0.3
6-Jul-2023,21:36:01.8125,0.1
6-Jul-2023,21:37:21.875,0.3
6-Jul-2023,21:37:56.9375,0.3
6-Jul-2023,21:39:52.03125,0.2
6-Jul-2023,21:41:23.125,0.0
6-Jul-2023,21:41:28.125,0.5
6-Jul-2023,21:42:27.1875,0.4
6-Jul-2023,21:42:32.1875,0.1
6-Jul-2023,21:43:34.21875,0.3
6-Jul-2023,21:43:36.21875,0.0
6-Jul-2023,21:44:10.25,0.5
6-Jul-2023,21:48:03.4375,0.4
6-Jul-2023,21:49:41.5625,0.2
6-Jul-2023,21:50:02.59375,0.0
6-Jul-2023,21:50:18.59375,0.3
6-Jul-2023,21:50:20.59375,0.0
6-Jul-2023,21:56:42.71875,0.2
6-Jul-2023,21:56:54.71875,0.1
6-Jul-2023,21:56:56.71875,0.4
6-Jul-2023,21:58:20.71875,0.5
6-Jul-2023,21:59:20.8125,0.4
6-Jul-2023,21:59:49.8125,0.0
6-Jul-2023,22:25:35.59375,0.0
6-Jul-2023,22:25:37.59375,0.2
6-Jul-2023,22:25:55.59375,0.0
6-Jul-2023,22:25:59.59375,0.4
6-Jul-2023,22:27:13.59375,0.1
6-Jul-2023,22:29:50.8125,0.3
6-Jul-2023,22:30:25.8125,0.2
6-Jul-2023,22:35:51.03125,0.0
6-Jul-2023,22:35:52.03125,0.2
6-Jul-2023,23:34:05.375,0.0
7-Jul-2023,00:03:19.34375,0.2
7-Jul-2023,00:19:33.25,0.1
7-Jul-2023,00:19:44.25,0.4
7-Jul-2023,00:20:17.28125,0.2
7-Jul-2023,00:25:39.53125,0.3
7-Jul-2023,00:27:57.625,0.2
7-Jul-2023,00:28:13.625,0.5
7-Jul-2023,00:30:02.71875,0.5
7-Jul-2023,00:32:02.875,0.3
7-Jul-2023,00:32:03.875,0.0
7-Jul-2023,00:36:45.9375,0.2
7-Jul-2023,00:36:56.9375,0.0
7-Jul-2023,00:38:58.09375,0.2
7-Jul-2023,00:39:49.15625,0.3
7-Jul-2023,00:39:57.15625,0.1
7-Jul-2023,00:40:12.15625,0.6
7-Jul-2023,00:42:17.25,0.5
7-Jul-2023,00:44:01.34375,0.3
7-Jul-2023,00:44:08.34375,0.3
7-Jul-2023,00:46:16.34375,0.6
7-Jul-2023,00:49:49.53125,0.6
7-Jul-2023,00:51:39.65625,0.7
7-Jul-2023,00:57:20.90625,0.5
7-Jul-2023,00:58:29.03125,0.8
7-Jul-2023,01:08:55.21875,0.6
7-Jul-2023,01:09:49.21875,0.8
7-Jul-2023,01:27:00.84375,0.7
7-Jul-2023,01:28:07.9375,0.4
7-Jul-2023,01:28:10.9375,0.0
7-Jul-2023,01:28:34,0.4
7-Jul-2023,01:32:00.1875,0.5
7-Jul-2023,01:32:07.21875,0.4
7-Jul-2023,01:33:02.3125,0.1
7-Jul-2023,01:39:45.5,0.0
7-Jul-2023,01:39:47.5,0.4
7-Jul-2023,01:39:56.5,0.0
7-Jul-2023,01:40:27.5,0.2
7-Jul-2023,01:48:28.75,0.5
7-Jul-2023,01:51:35.875,0.3
7-Jul-2023,01:51:47.875,0.5
7-Jul-2023,02:01:27.25,0.4
7-Jul-2023,02:09:29.4375,0.6
7-Jul-2023,02:09:51.46875,0.5
7-Jul-2023,02:39:12.78125,0.9
7-Jul-2023,04:22:25.3125,0.7
7-Jul-2023,04:22:31.375,0.0
7-Jul-2023,04:27:35.46875,0.1
7-Jul-2023,04:27:45.46875,0.1
7-Jul-2023,04:28:57.6875,0.2
7-Jul-2023,04:29:01.6875,0.5
7-Jul-2023,04:29:45.75,0.1
7-Jul-2023,04:31:23.84375,0.0
7-Jul-2023,04:32:32.875,0.2
7-Jul-2023,04:32:39.90625,0.1
7-Jul-2023,04:34:47.09375,0.1
7-Jul-2023,04:35:38.09375,0.1
7-Jul-2023,04:54:18.8125,0.2
7-Jul-2023,04:55:09.8125,0.7
7-Jul-2023,04:57:45.8125,0.4
7-Jul-2023,04:59:13.8125,0.6
7-Jul-2023,05:00:48.875,0.3
7-Jul-2023,05:02:47.03125,0.7
7-Jul-2023,05:06:10.1875,0.5
7-Jul-2023,05:07:15.25,0.5
7-Jul-2023,05:07:21.25,0.0
7-Jul-2023,05:07:53.25,0.2
7-Jul-2023,05:08:32.25,0.2
7-Jul-2023,05:15:05.5,0.1
7-Jul-2023,05:17:00.59375,0.3
7-Jul-2023,05:17:32.59375,0.2
7-Jul-2023,05:17:57.59375,0.1
7-Jul-2023,05:18:47.625,0.4
7-Jul-2023,05:21:07.78125,0.3
7-Jul-2023,05:21:10.8125,0.0
7-Jul-2023,05:21:42.8125,0.4
7-Jul-2023,05:23:23.8125,0.8
7-Jul-2023,06:01:43.5625,0.7
7-Jul-2023,11:25:38.8125,0.6
7-Jul-2023,11:31:11.09375,0.5
7-Jul-2023,11:31:17.09375,0.0
7-Jul-2023,11:31:53.09375,0.4
7-Jul-2023,11:47:46.90625,0.8
7-Jul-2023,12:07:31.90625,0.7
7-Jul-2023,12:24:39.5,0.7
7-Jul-2023,12:24:42.53125,0.4
7-Jul-2023,12:43:12.34375,0.8
7-Jul-2023,12:57:22,0.5
7-Jul-2023,13:11:30.46875,0.6
7-Jul-2023,13:13:13.46875,0.5
7-Jul-2023,13:17:13.59375,0.6
7-Jul-2023,13:17:39.59375,0.6
7-Jul-2023,13:17:43.59375,0.0
7-Jul-2023,13:18:42.59375,0.1
7-Jul-2023,13:19:03.59375,0.6
7-Jul-2023,13:19:46.65625,0.3
7-Jul-2023,13:19:49.65625,0.0
7-Jul-2023,13:20:50.65625,0.2
7-Jul-2023,13:21:20.65625,0.4
7-Jul-2023,13:21:25.65625,0.1
7-Jul-2023,13:23:05.6875,0.7
7-Jul-2023,13:33:20.25,0.4
7-Jul-2023,13:33:48.25,0.2
7-Jul-2023,13:34:31.375,0.2
7-Jul-2023,13:35:03.40625,0.2
7-Jul-2023,13:35:17.40625,0.2
7-Jul-2023,13:35:26.40625,0.2
7-Jul-2023,13:35:33.40625,0.0
7-Jul-2023,13:36:10.40625,0.1
7-Jul-2023,13:37:13.46875,0.4
7-Jul-2023,13:37:59.46875,0.0
7-Jul-2023,13:38:04.46875,0.4
7-Jul-2023,13:38:13.46875,0.0
7-Jul-2023,13:42:59.59375,0.2
7-Jul-2023,13:44:44.65625,0.2
7-Jul-2023,14:04:23.28125,0.1
7-Jul-2023,14:04:57.3125,0.1
7-Jul-2023,14:19:31.96875,0.1
7-Jul-2023,22:10:17.375,0.0
8-Jul-2023,06:00:42.625,0.0
8-Jul-2023,13:51:06.375,0.0
8-Jul-2023,21:41:33.4375,0.0
9-Jul-2023,03:25:49.03125,0.0
9-Jul-2023,03:25:51.0625,0.8
9-Jul-2023,05:02:34.4375,0.6
9-Jul-2023,05:02:38.4375,0.0
9-Jul-2023,06:05:33.8125,0.1
9-Jul-2023,06:06:05.84375,0.4
9-Jul-2023,06:06:39.875,0.0
9-Jul-2023,06:24:49.9375,0.2
9-Jul-2023,06:24:58.96875,0.3
9-Jul-2023,06:25:01.96875,0.0
9-Jul-2023,06:32:55.375,0.1
9-Jul-2023,06:33:45.4375,0.3
9-Jul-2023,06:33:55.4375,0.1
9-Jul-2023,06:34:13.4375,0.2
9-Jul-2023,06:35:03.46875,0.4
9-Jul-2023,06:35:37.46875,0.4
9-Jul-2023,06:36:21.46875,0.2
9-Jul-2023,06:37:22.53125,0.0
9-Jul-2023,06:37:57.5625,0.2
9-Jul-2023,06:41:40.90625,0.3
9-Jul-2023,06:44:14.125,0.2
9-Jul-2023,06:45:04.15625,0.1
9-Jul-2023,06:45:06.15625,0.3
9-Jul-2023,06:46:58.1875,0.5
9-Jul-2023,06:54:25.96875,0.6
9-Jul-2023,06:54:28.96875,0.0
