Time,Value,Value Attributes
6-Mar-2024,14:24:21.09375,75.52
6-Mar-2024,13:48:55.46875,75.55
6-Mar-2024,08:34:38.40625,75.51
6-Mar-2024,06:29:59.875,75.57
5-Mar-2024,22:30:05.9375,75.60
5-Mar-2024,14:30:19.625,75.58
5-Mar-2024,06:30:20.03125,75.62
5-Mar-2024,06:30:00.03125,75.45
5-Mar-2024,06:28:31,75.06
5-Mar-2024,06:27:37.96875,74.78
5-Mar-2024,06:27:25.96875,73.82
5-Mar-2024,06:19:30.84375,73.65
5-Mar-2024,04:31:10.21875,73.72
5-Mar-2024,04:30:54.21875,72.39
5-Mar-2024,04:29:28.21875,72.52
5-Mar-2024,04:29:13.21875,72.51
5-Mar-2024,04:24:42.21875,72.39
5-Mar-2024,04:19:51.09375,72.51
5-Mar-2024,04:18:17.09375,72.47
5-Mar-2024,04:16:51,72.49
5-Mar-2024,04:13:30.96875,72.45
5-Mar-2024,04:12:29.9375,72.48
5-Mar-2024,04:04:05.90625,72.51
5-Mar-2024,04:00:30.90625,72.48
5-Mar-2024,03:59:02.90625,72.51
5-Mar-2024,03:51:15.75,72.41
5-Mar-2024,03:33:35.40625,72.49
5-Mar-2024,03:29:11.25,72.30
5-Mar-2024,03:27:05.25,72.52
5-Mar-2024,03:21:29.25,72.36
5-Mar-2024,03:16:32.125,72.33
5-Mar-2024,03:10:08.96875,72.32
5-Mar-2024,03:03:10.90625,72.36
5-Mar-2024,02:58:12.875,72.41
5-Mar-2024,02:57:45.875,72.30
5-Mar-2024,02:56:05.84375,72.43
5-Mar-2024,02:52:22.8125,72.52
5-Mar-2024,02:50:58.78125,72.36
5-Mar-2024,02:45:35.71875,72.30
5-Mar-2024,02:43:31.71875,72.49
5-Mar-2024,02:39:18.625,72.40
5-Mar-2024,02:19:14.3125,72.39
5-Mar-2024,02:08:37.0625,72.33
5-Mar-2024,01:56:09.9375,72.31
5-Mar-2024,01:53:44.875,72.33
5-Mar-2024,01:43:06.75,72.46
5-Mar-2024,01:42:38.71875,72.52
5-Mar-2024,01:37:46.65625,72.42
5-Mar-2024,01:31:06.59375,72.45
5-Mar-2024,01:28:33.59375,72.42
5-Mar-2024,01:25:04.5625,72.40
5-Mar-2024,01:18:50.46875,72.39
5-Mar-2024,01:18:25.46875,72.31
5-Mar-2024,01:12:49.40625,72.42
5-Mar-2024,01:09:55.34375,72.49
5-Mar-2024,01:07:04.34375,72.48
5-Mar-2024,01:06:34.3125,72.45
5-Mar-2024,00:53:39.25,72.49
5-Mar-2024,00:46:57.1875,72.45
5-Mar-2024,00:36:02.0625,72.37
5-Mar-2024,00:28:56,72.49
5-Mar-2024,00:22:43.90625,72.45
5-Mar-2024,00:20:25.84375,72.51
5-Mar-2024,00:16:36.8125,72.47
5-Mar-2024,00:14:50.78125,72.52
5-Mar-2024,00:00:38.5,72.40
4-Mar-2024,23:48:33.40625,72.40
4-Mar-2024,23:44:56.34375,72.32
4-Mar-2024,23:44:26.3125,72.33
4-Mar-2024,23:32:54.25,72.43
4-Mar-2024,23:20:33.0625,72.49
4-Mar-2024,22:49:16.53125,72.40
4-Mar-2024,22:47:22.53125,72.59
4-Mar-2024,22:46:52.53125,72.88
4-Mar-2024,22:46:50.53125,73.16
4-Mar-2024,22:46:14.5,73.32
4-Mar-2024,22:46:05.5,74.09
4-Mar-2024,22:45:30.5,74.08
4-Mar-2024,22:45:19.5,74.89
4-Mar-2024,21:00:49.1875,74.99
4-Mar-2024,21:00:36.15625,75.98
4-Mar-2024,16:19:06.71875,76.10
4-Mar-2024,08:19:12.90625,76.02
4-Mar-2024,00:28:01.375,76.03
3-Mar-2024,16:29:19.9375,76.01
3-Mar-2024,08:30:11.40625,76.04
3-Mar-2024,00:32:40.875,75.98
2-Mar-2024,16:33:16.15625,75.99
2-Mar-2024,08:34:12.3125,76.03
2-Mar-2024,00:40:38.53125,76.03
2-Mar-2024,00:38:59.53125,75.47
2-Mar-2024,00:38:38.53125,73.68
2-Mar-2024,00:37:17.53125,73.65
