Time,Value,Value Attributes
30-Mar-2024,05:08:34.5,24
30-Mar-2024,05:08:29.5,24
30-Mar-2024,05:08:27.5,24
30-Mar-2024,05:06:59.46875,24
30-Mar-2024,05:06:52.46875,24
30-Mar-2024,05:06:51.46875,24
30-Mar-2024,05:06:50.46875,24
30-Mar-2024,05:06:49.46875,24
30-Mar-2024,05:06:40.46875,24
30-Mar-2024,05:06:22.4375,24
30-Mar-2024,05:05:46.375,24
30-Mar-2024,05:05:45.375,24
30-Mar-2024,05:05:43.375,24
30-Mar-2024,05:05:29.34375,24
30-Mar-2024,05:05:11.34375,24
30-Mar-2024,05:05:10.34375,24
30-Mar-2024,05:05:09.34375,24
30-Mar-2024,05:04:27.34375,24
30-Mar-2024,05:04:23.34375,24
30-Mar-2024,05:04:19.34375,24
30-Mar-2024,05:04:16.34375,24
30-Mar-2024,05:04:13.34375,24
30-Mar-2024,05:04:09.34375,24
30-Mar-2024,05:04:06.34375,24
30-Mar-2024,05:04:05.34375,24
30-Mar-2024,05:03:35.34375,24
30-Mar-2024,05:03:34.34375,24
30-Mar-2024,05:03:28.34375,24
30-Mar-2024,05:03:24.34375,24
30-Mar-2024,05:03:22.34375,24
30-Mar-2024,05:03:18.34375,24
30-Mar-2024,05:03:16.34375,24
30-Mar-2024,05:03:15.34375,24
30-Mar-2024,05:01:16.28125,24
30-Mar-2024,05:01:15.28125,25
30-Mar-2024,05:01:14.28125,24
30-Mar-2024,05:01:09.28125,24
30-Mar-2024,05:01:02.28125,24
30-Mar-2024,05:01:01.28125,24
30-Mar-2024,05:00:39.25,24
30-Mar-2024,05:00:00.25,24
30-Mar-2024,04:59:55.25,24
30-Mar-2024,04:59:54.25,24
30-Mar-2024,04:59:51.25,24
30-Mar-2024,04:59:30.25,24
30-Mar-2024,04:59:28.25,24
30-Mar-2024,04:59:26.25,24
30-Mar-2024,04:59:02.25,24
30-Mar-2024,04:59:01.25,24
30-Mar-2024,04:59:00.25,24
30-Mar-2024,04:58:54.25,24
30-Mar-2024,04:58:53.25,24
30-Mar-2024,04:58:47.25,25
30-Mar-2024,04:58:46.25,24
30-Mar-2024,04:58:40.25,24
30-Mar-2024,04:58:38.25,24
30-Mar-2024,04:58:31.25,24
30-Mar-2024,04:57:57.25,24
30-Mar-2024,04:57:56.25,24
30-Mar-2024,04:57:55.25,24
30-Mar-2024,04:57:50.25,24
30-Mar-2024,04:57:42.21875,24
30-Mar-2024,04:57:31.21875,24
30-Mar-2024,04:57:30.21875,24
30-Mar-2024,04:57:26.21875,24
30-Mar-2024,04:57:24.21875,24
30-Mar-2024,04:57:23.21875,24
30-Mar-2024,04:57:16.21875,24
30-Mar-2024,04:57:14.21875,24
30-Mar-2024,04:57:08.21875,24
30-Mar-2024,04:57:07.21875,24
30-Mar-2024,04:57:04.21875,24
30-Mar-2024,04:57:02.21875,24
30-Mar-2024,04:57:01.21875,24
30-Mar-2024,04:56:59.21875,24
30-Mar-2024,04:56:57.21875,24
30-Mar-2024,04:56:55.21875,24
